Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53)
0.0,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972307235,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.356270665801e-24,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972307183,0.4515426283560999,1.7135497521472105e-60,0.4569006123410269,3.3857535276724415e-84,1.9097319929906144e-94,8.524521271526582e-48,1.4437239009980075e-129,1.7498773234064746e-174,2.2299242057585242e-18,4.4771810844929437e-45,1.0617373604505718e-59,1.6796205903822757e-70,4.477181084492952e-45,8.347892838658373e-26,8.906358043730421e-62,1.6256354897908573e-45,7.018866720380945e-44,2.4913613453105907e-78,-9.107380839920888e-106,1.7629585762473457e-88,-1.4455043298710733e-117,1.5091146818790831e-18,3.4842565714977054e-29,5.711229980105437e-63,2.581327908614432e-79,1.37662303535943e-65
3.7975578642428e-24,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972307087,0.4515426283560999,2.0343262657491592e-59,0.4569006123410269,1.992888824902376e-82,1.1617834677250406e-92,2.3868659560274427e-47,2.276888062407265e-127,1.1328326447107703e-171,6.24378777612382e-18,2.7042173750337205e-44,1.2604945952459401e-58,5.280995783613215e-69,2.7042173750337304e-44,2.3374099948243356e-25,1.0573629190242593e-60,9.818838356569164e-45,4.239395499097454e-43,7.833238197997822e-77,4.719616500597659e-104,2.664183004032518e-87,1.428250781704611e-116,4.225521109261401e-18,9.755918400193537e-29,6.780372230916983e-62,5.77432775914114e-78,8.314803133570872e-65
8.6801322611264e-24,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972306899,0.4515426283560999,1.9973135911027625e-58,0.4569006123410269,8.96302746919131e-81,5.244846946667477e-91,5.455693613777013e-47,1.087778222526603e-124,3.7032988103762047e-168,1.427151491685422e-17,1.3019642593705223e-43,1.2375610702782464e-57,1.178161107956867e-67,1.3019642593705324e-43,5.342651416741296e-25,1.0381253878114633e-59,4.727348001660391e-44,2.0410864422678246e-42,1.7475523473280891e-75,4.953429497786846e-102,2.8660065023627347e-86,7.877443482267401e-115,9.658333964025911e-18,2.2299242057585053e-28,6.657009660271915e-61,1.140910076441805e-76,4.0032197868251005e-64
1.84452810548936e-23,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972306521,0.4515426283560999,1.7666012524736342e-57,0.4569006123410269,3.378941044435315e-79,1.9803551944817848e-89,1.159334892927615e-46,3.6941727827738726e-122,5.785378973467695e-165,3.032696919831425e-17,5.6860199773057725e-43,1.0946087554083043e-56,2.2065653655066677e-66,5.686019977305864e-43,1.1353134260575067e-24,9.182105178039768e-59,2.0645570692945867e-43,8.91396073468794e-42,3.2729721384684593e-74,3.9547879102168064e-100,2.6343537451285624e-85,3.100289355052501e-113,2.052395967355441e-17,4.738588937236749e-28,5.888049650757647e-60,2.0301893114847697e-75,1.7483112549063514e-63
3.7975578642428003e-23,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972305765,0.4515426283560999,1.4849347984146397e-56,0.4569006123410269,1.1713642440824876e-77,6.870777595795033e-88,2.386865956027443e-46,1.084024283418341e-119,7.259641473010357e-162,6.243787776123126e-17,2.3738014109979182e-42,9.200846202657658e-56,3.81129293476154e-65,2.373801410997995e-42,2.3374099948242024e-24,7.718118896160422e-58,8.619119342212901e-43,3.721403134969702e-41,5.653245430098621e-73,2.817046763801169e-98,2.253745091632057e-84,1.0954021525522744e-111,4.2255211092609327e-17,9.755918400192996e-28,4.949260503786184e-59,3.4242136883708446e-74,7.298855333474582e-63
7.70361738174968e-23,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972304253,0.4515426283560998,1.217439263721898e-55,0.45690061234102686,3.899528935152631e-76,2.28825944652763e-86,4.841928082227098e-46,2.9678095294851065e-117,8.213603366368045e-159,1.2665969488705304e-16,9.697753316253059e-42,7.543409710773754e-55,6.332520213501468e-64,9.697753316253687e-42,4.741603132357359e-24,6.327790410059835e-57,3.5211914754292895e-42,1.5203146069521477e-40,9.392951805653317e-72,1.900483438156762e-96,1.863440024911344e-83,3.6800932683945323e-110,8.571771393071092e-17,1.979057732610454e-27,4.0577027675079934e-58,5.624290067476135e-73,2.9818205595089962e-62
1.551573641676344e-22,0.0005394621125486658,0.0915567593028733,0.0,0.001587636997230123,0.45154262835609976,9.859138800062902e-55,0.45690061234102675,1.2726078162903055e-74,7.469283725389043e-85,9.752052334626405e-46,7.854831948729742e-115,8.836689374037758e-156,2.5510332913864774e-16,3.9199869441639546e-41,6.108848925344019e-54,1.0323606192568843e-62,3.9199869441644613e-41,9.549989407422733e-24,5.12442530734764e-56,1.423321884642144e-41,6.1453547180684255e-40,1.531288201090502e-70,1.2485400453840617e-94,1.5153184810177355e-82,1.2063856520558807e-108,1.7264271960688091e-16,3.9859895177923784e-27,3.2860328795237336e-57,9.117245113300533e-72,1.205299545362103e-61
3.113997448679096e-22,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972295185,0.45154262835609965,7.935492631978923e-54,0.4569006123410266,4.112421868051318e-73,2.4139588012097323e-83,1.957230083942502e-45,2.0444585590344075e-112,9.27401946628194e-153,5.119905976416413e-16,1.5762095095187212e-40,4.916933339329729e-53,1.6672651573467733e-61,1.5762095095191294e-40,1.9166761957549712e-23,4.12460998521991e-55,5.723114627934071e-41,2.4710201033812155e-39,2.473034505666215e-69,8.09543649912504e-93,1.2221592511042515e-81,3.9070822538706703e-107,3.464927309590885e-16,7.999853088154701e-27,2.6448851001545286e-56,1.4683134141413087e-70,4.8464564608980065e-61
6.2388450626846e-22,0.0005394621125486658,0.0915567593028733,0.0,0.0015876369972283094,0.4515426283560994,6.367733077289852e-53,0.45690061234102625,1.322424611019234e-71,7.763028586883225e-82,3.92127978490224e-45,5.27730006643103e-110,9.613842184539749e-150,1.0257651346468457e-15,6.321305110098147e-40,3.945529774661692e-52,2.680080045029651e-60,6.321305110101421e-40,3.840030705778863e-23,3.3097825779031175e-54,2.2952248820196242e-40,9.909895801284432e-39,3.975330645676791e-68,5.214874129882689e-91,9.817047743285856e-81,1.2577831674535218e-105,6.941927536629738e-16,1.6027580228873225e-26,2.1223536601379597e-55,2.3569977344759495e-69,1.9436458038807157e-60
