Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55)
0.0,0.0005367589272267694,0.0915567593028733,0.0,0.001579681522828382,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4057854681252504e-24,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228283766,0.4515426283560999,1.467876850466456e-60,0.4569006123410269,3.5360266589975773e-84,1.735408770683268e-94,6.036628341338699e-48,1.4892686374829484e-129,1.6821093032725386e-174,2.3055362045532724e-18,4.0212622005806866e-45,1.0443547778607265e-59,1.7147743470390376e-70,4.0212622005806953e-45,8.355096066037983e-26,8.179536806326146e-62,1.5228975912751938e-45,6.701157365384931e-44,2.268397109433541e-78,-8.680782688634498e-106,1.2261311919344267e-88,-1.0282309719675114e-117,1.560285558993522e-18,3.6024003196145026e-29,4.911367396386903e-63,2.2791963804656564e-79,1.00790898478796e-65,-5.017600213593052e-110,-4.6624786661073877e-122
3.9361993107507014e-24,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228283669,0.4515426283560999,1.7426633968737705e-59,0.4569006123410269,2.09256246963965e-82,1.0557342232338366e-92,1.6902559355748356e-47,2.3487164575331247e-127,1.138762595660354e-171,6.455501372749114e-18,2.428842369150719e-44,1.2398579932780167e-58,5.391524643295173e-69,2.42884236915073e-44,2.3394268984906257e-25,9.71074710009373e-61,9.198301449585364e-45,4.0474990486799685e-43,7.132203377182443e-77,4.4985454485141396e-104,1.8529293852290813e-87,1.0159579978090221e-116,4.3687995651818275e-18,1.0086720894920567e-28,5.830775371689615e-62,5.098471638945609e-78,6.087770268119215e-65,2.6002151454111562e-108,4.3025072308251476e-120
8.997026996001602e-24,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228283473,0.4515426283560999,1.7109572569036797e-58,0.4569006123410269,9.41653062601801e-81,4.7660900136532817e-91,3.8634421384567675e-47,1.1220940802830458e-124,3.6558646475256835e-168,1.475543170914059e-17,1.16938304792884e-43,1.2172999322029427e-57,1.2028194873021207e-67,1.1693830479288501e-43,5.347261482264244e-25,9.534071235704931e-60,4.42858619285305e-44,1.9486965618351426e-42,1.591155338104408e-75,4.721406440537601e-102,1.9932968736449405e-86,5.60346389626988e-115,9.985827577558301e-18,2.3055362045532533e-28,5.724689833195732e-61,1.0073722993153522e-76,2.9309993277632958e-64,2.729031567258919e-106,9.172207005944075e-118
1.9118682366503406e-23,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228283083,0.4515426283560999,1.5133223177568518e-57,0.4569006123410269,3.5501793056624325e-79,1.799585713421936e-89,8.209814544220631e-47,3.8107118946482975e-122,5.694451849090647e-165,3.1355292381922735e-17,5.107002994737225e-43,1.0766880083993437e-56,2.2527477809205678e-66,5.107002994737316e-43,1.1362930649811325e-24,8.432781894020111e-59,1.934079938258441e-43,8.510469853844638e-42,2.9800578493601557e-74,3.769542116141347e-100,1.8321832412699035e-85,2.2053296229544573e-113,2.1219883602310693e-17,4.899264434675583e-28,5.063423322510075e-60,1.7925659764845388e-75,1.280044410680615e-63,2.1788421658494907e-104,1.4669088462111764e-115
3.936199310750701e-23,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228282302,0.4515426283560999,1.2720385925845398e-56,0.4569006123410269,1.2307497018029355e-77,6.243604469925222e-88,1.6902559355748358e-46,1.1182217166368901e-119,7.134798812752389e-162,6.455501372748372e-17,2.132073218747657e-42,9.050211528713095e-56,3.891061572618378e-65,2.1320732187477338e-42,2.339426898490488e-24,7.088267799414948e-58,8.074403004991577e-43,3.552953634952284e-41,5.147308838795239e-73,2.6850937799544896e-98,1.5674713369505316e-84,7.7919269450368845e-112,4.368799565181325e-17,1.0086720894919987e-27,4.2561123884654205e-59,3.0234272119151475e-74,5.343933437344917e-63,1.5520175590642854e-102,2.0913985490408555e-113
7.984861458951423e-23,0.0005367589272267694,0.0915567593028733,0.0,0.001579681522828074,0.4515426283560998,1.0428940915354158e-55,0.45690061234102686,4.097255274647362e-76,2.079384728201881e-86,3.4288048978803798e-46,3.061434247476915e-117,8.066331733050971e-159,1.3095445641859257e-16,8.710214776943897e-42,7.419910308536783e-55,6.465056998321784e-64,8.71021477694453e-42,4.745694565508955e-24,5.811400871236293e-57,3.298657078328473e-42,1.451497489823833e-40,8.552330593845081e-72,1.8114630980647887e-96,1.2960156133056316e-83,2.6177616924675255e-110,8.862421975080949e-17,2.0461633815407765e-27,3.4894180660200645e-58,4.965997104142794e-73,2.1831711774093964e-62,1.0470481751572578e-100,2.8229902560374867e-111
1.6082185755352865e-22,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228277614,0.45154262835609976,8.445626741805091e-55,0.45690061234102675,1.337140069186509e-74,6.787482624499026e-85,6.905902822491469e-46,8.102626294544491e-115,8.675030751121295e-156,2.637533418007577e-16,3.5208080771924595e-41,6.008835914626328e-54,1.0539674602321816e-62,3.520808077192971e-41,9.558229899544907e-24,4.7062403883722075e-56,1.33336992356614e-41,5.867184927730584e-40,1.394245727891173e-70,1.1900573152964893e-94,1.0538983730490798e-82,8.581386237976308e-109,1.7849666794876635e-16,4.121145965637922e-27,2.825821197231955e-57,8.050123938336113e-72,8.824726958125398e-62,6.878679160120877e-99,3.709929372281871e-109
3.227683434815575e-22,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228271363,0.45154262835609965,6.797775154723534e-54,0.4569006123410266,4.3209643747509014e-73,2.1936129630527722e-83,1.3860098671713654e-45,2.1089545619161406e-112,9.102682523212444e-153,5.293511125648777e-16,1.4157014427619671e-40,4.836434178875103e-53,1.7021602632168666e-61,1.4157014427623786e-40,1.918330056761291e-23,3.788019536075897e-55,5.361421750697287e-41,2.359169254125728e-39,2.2517105470353287e-69,7.716239024719788e-93,8.500072179415249e-82,2.779226036549111e-107,3.582415643445378e-16,8.27111113383057e-27,2.2744667051599103e-56,1.2964568661991491e-70,3.5483838973006295e-61,4.460082081175144e-97,4.811469865692482e-107
6.466613153376152e-22,0.0005367589272267694,0.0915567593028733,0.0,0.0015796815228258862,0.4515426283560994,5.454786452736898e-53,0.45690061234102625,1.3894864101580983e-71,7.054432584638736e-82,2.7768490370158183e-45,5.443781675529773e-110,9.435362964903261e-150,1.0605466540922767e-15,5.677595973416468e-40,3.880934286520232e-52,2.736172908501395e-60,5.677595973419771e-40,3.843344190373325e-23,3.0396917934052544e-54,2.150169862757654e-40,9.461323869288362e-39,3.6195588514809707e-68,4.970604764721409e-91,6.827720228051839e-81,8.94699775477542e-106,7.177313571355114e-16,1.657104147020929e-26,1.825116233392507e-55,2.0811300027150043e-69,1.4230606481643728e-60,2.8730714006615575e-95,6.199170682675282e-105
